Group,n,mean_Lactoferrin,sd_Lactoferrin
Beef,1,832.2816404630669,NA
Dairy,3,5959.831368239118,2579.7885065137048
Defatted,1,8089.6817126012265,NA
SCCL_Dried,4,1856.7042807727892,697.1309049785531
SCCL_Pre,4,2111.639159012018,828.2783686690425
