"Group","n","Mean_DM","SD_DM"
"Beef",1,25.4792486254757,NA
"Dairy",3,25.192868296548,1.3337786329333
"Defatted",1,22.9391530775647,NA
"SCCL_Dried",4,21.7380081736889,0.666512798669425
"SCCL_Pre",4,17.9766020160587,2.50694562237272
