Group,n,mean_IgG2,sd_IgG2
Beef,1,1.563705624898687,NA
Dairy,3,3.6223090297900504,1.4125237515369504
Defatted,1,4.220338983050846,NA
SCCL_Pre,4,1.4097804722938834,0.9378774029407582
