Group,n,mean_Insulin,sd_Insulin
Beef,1,146.19338609144583,NA
Dairy,3,326.01652735591176,112.12372299179289
Defatted,1,294.73224972804877,NA
SCCL_Dried,4,144.53424626543827,49.73836167199957
SCCL_Pre,4,126.84041848448659,44.19208594229279
