"Group","n","Mean_IgG","SD_IgG"
"Beef",1,132.782091090759,NA
"Dairy",3,93.9212933887427,21.4365526814681
"Defatted",1,96.3769237454852,NA
"SCCL_Dried",4,37.2297238234057,21.9087348177507
"SCCL_Pre",4,44.1130280175543,15.9757213277876
