"Group","n","Mean_DM","SD_DM"
"Beef",1,0.254792486254757,NA
"Dairy",3,0.25192868296548,0.013337786329333
"Defatted",1,0.229391530775647,NA
"SCCL_Dried",4,0.217380081736889,0.00666512798669425
"SCCL_Pre",4,0.179766020160587,0.0250694562237272
