"Group","n","Mean_IgG1","SD_IgG1"
"Beef",1,72.5442520910329,NA
"Dairy",3,50.5515621288265,17.7716064215993
"Defatted",1,39.0081944051992,NA
"SCCL_Dried",4,22.7791395435139,10.2624175650597
"SCCL_Pre",4,19.170427271465,9.10347953122302
