"Group","n","Mean_CP","SD_CP"
"Beef",2,16.2695680478475,0
"Dairy",6,14.9563441507034,1.37014088068184
"Defatted",2,16.8355837804314,0
"Other",13,51.5589966473804,11.5993121727168
"SCCL_Dried",8,45.2254406231501,6.49600839169407
"SCCL_Pre",8,7.98108033704021,2.32869807478224
