Group,n,mean_IGF1,sd_IGF1
Beef,1,1729.9645994827467,NA
Dairy,3,2720.403671093704,222.47229623389308
Defatted,1,3307.499802945655,NA
SCCL_Dried,4,1288.0680566473243,485.22473622459745
SCCL_Pre,4,1398.603547941891,591.0276873218987
